Shipment Name,"OBL No. ","Status ",CONTRACT NO.," PI NO."," PI VALUE ","INVOICE NO. "," FCLs Goods","Shipping line "," ETD"," ETA","S. Price ","GROSS WEIGHT   ","Contract Quantity/MT ","Total Amount ",PROVISIONAL INVOICE VALUE,FINAL INVOICE /Balance," POL ZN%",POD ZN%," POL Moisture "," POD Moisture ",LME  PI,LME  POL,LME  POD,"Tracking # ","Due Date  ",LABORATORY REPORT,"  Shipping Docs/ provisional hipping Docs/ provisional ",Shipping Docs/ FINAL Docs,Last edited time
"XIN SHENG ENVIRONMENTAL (M) SDN BHD / 86/ GUATEMALA ",249876488,In progress/ Final,MTKEAF2025/002,10PI-2025,,15ZND/2025,Zinc Concentrate Powder,MEARSK,"February 18, 2025","April 26, 2025",418.59,400.91,2180,"166,703.89"," $138,751.15",,39.97,,0.51,,2950,2950,,final inspection sent on 7/4,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250092-R0-AEDMM-25-00024-METALUCK-ZINC-Guatemala-249876488.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%207.pdf,,"May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD / 86/ NOVACERO,GQL0385600,In progress/ Final,MTKEAF2025/002,12PI-2025,,17ZND/2025,Zinc Concentrate Powder,CMA,"February 23, 2025","April 24, 2025",218.96,546.26,2180,"118,291.83 "," 98,753.94",,27.49,,0.92,,2950,2950,,final inspection sent on 7/4,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250101-R0-AEDMM-25-00059-METALUCK-ZINC-DGQL0385600-Novacero.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%208.pdf,,"May 6, 2025 3:49 PM"
Befesa/ 87 /ELC2500000462/VILLINGOTA,GQL0384200,Done,,07PI-2025,"$499,825.71",08ZND/2025,ELECTRIC ARC FURNACE DUST (EAFD),CMA,"February 9, 2025","March 25, 2025",173.37,969.535,"3,100","166,801.31 ","154,892.92","$1,902.74","27.04 ","26.53 ",0.71,3.79,2853.8,2853.8,"2,887.83","DHL3146237452.Estimated Time of Arrival
February 28,",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250075-R0-AEDMM-25-00024-METALUCK-ZINC-ECUADOR_-GQL0384200.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%209.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_invoice_(4).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/David_Comms_for_BL_end_56606200.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250009_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(BL_No.GQL0384200).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/08ZND_Assay_Certificate.pdf","May 6, 2025 3:49 PM"
"Befesa/ 87 /ELC2500000462/ANDEC MONTHLY GENERATION ",GQL0385606,Done,,07PI-2025,"$499,825.71",12ZND/2025,EAFD,CMA,"February 23, 2025","March 23, 2025",173.37,"1,080",3100,"170,638.38 ","$158,693.69","$1,676.58","27   ","26.37 ",6.9,9.67,2853.8,2853.8,"2,887.83","DHL
1825746112.Estimated Time of Arrival
March 17",,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250096-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385606-ADELCA(13-14_02_25).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250097-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385606-_ANDEC(15_02_25).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250098-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385606-Villingota(15_02_25).pdf",shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2010.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/12ZND_Assay_Certificate.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/David_Comms_for_BL_end_56606200%201.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_invoice_(4)%201.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250008((BL_No.GQL0385606)_INVOICE.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250008_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(BL_No.GQL0385606).pdf","May 6, 2025 3:49 PM"
Befesa/ 87 /ELC2500000462/ADELCA,GQL0385056,Done,,07PI-2025,"$499,825.71",11ZND/2025,EAFD,CMA,"February 16, 2025","March 15, 2025",173.37,969.59,3100,"200600.22 ",154724.43,"$39,025.43","30.52 ","30.14 ",0.83,4.04,2853.8,2853.8,"2,887.83","DHL:
7794854454Delivered,
Friday, March 7",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250095-R1-AEDMM-25-00059-METALUCK-ZINC-GQL0385056-ADELCA(07-12_02_25).pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2011.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/11ZND_Assay_Certificate.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_(6)%201.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/C0MM__927.521.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250007_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(_BL_No.GQL0385056).pdf","May 6, 2025 3:49 PM"
Aims Impex Co/88/villingota   Bangkok Thailand COD JAKARTA,GQL0385597,In progress/ Final,02ZN/2025,09PI-2025,"$76,596.00",18ZND/2025,Zinc Concentrate Powder,CMA,"February 23, 2025",,138.243,1318.943,2000,"148,314.28  ","56,886.85",,22.49,,18.54,,"2,699.00","2,859.00",,,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250102-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385597_-Villingota.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2012.pdf,,"May 6, 2025 3:49 PM"
Aims Impex Co/88/villingota   Bangkok Thailand COD JAKARTA,GQL0389356,In progress/ Final,02ZN/2025,09PI-2025,"$76,596.00",22ZND/2025,Zinc Concentrate Powder,CMA,"March 22, 2025","June 5, 2025",147.12,676.813,2000,"79,553.37 "," $71,598.04",,23.22/ MOISTURE 20%,,20,,"2,699.00","2,947.00","2,625.33","not paid ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250151-R0-AEDMM-25-00087-METALUCK-ZINC-DHL_tracking_number_WAYBILL_4938794151Ecuador_-__VILLINGOTA.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2013.pdf,,"May 6, 2025 3:49 PM"
"Befesa / 89 / ELC2400000498/Sidoc ",HDMU BOGA41714400,Done,,11PI-2025,"$61,733.40",16ZND/2025,ELECTRIC ARC FURNACE DUST (EAFD),HMM,"March 16, 2025","April 16, 2025",230.01,317.712,400,"69,363.20  ","$46,541.74",16780.19,33.02,32.29,4.81,04.81,2731.7,2731.7,,"DHL
3649403763",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250128-R0-AEDMM-25-00059-METALUCK-ZINC-Colombia-BOGA41714400.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2014.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/16ZND_Assay_Certificate.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_(1)%202.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250013_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(BL_NO._HDMU_BOGA41714400).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/KOMSA_P006_BOGA41714400_23-04-2025.pdf","May 6, 2025 3:49 PM"
SUNPOR TRADING PTE.LTD 90/kenya/TONONOKO/ to Pakistan,MEDUM2729843,In progress/ Final,04ZN/2024,13PI-2025,"$13,155.60",20ZND/2025,Zinc Concentrate Powder,MSC,"March 15, 2025","July 5, 2025",875.71 + 800 $per container (4cont),99.96,100,"89100.15 ","75,944.55",,59.36,,1.63,,"2,811.00",2892.64,,PAID ON 31/3 IN TWO PAYMNETS 30696.4+45248.15,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250106-R0-AEDMM-25-00059-METALUCK-ZINC-Kenya.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2015.pdf,,"May 6, 2025 3:49 PM"
SUNPOR TRADING PTE.LTD 91/Ghana to Pakistan,TMA0151767,In progress/ Final,06ZN/2024,14PI-2025,"$13,272.60",23ZND/2025,Zinc Concentrate Powder,CMA,"March 24, 2025","May 4, 2025",390.67,101.17,100,"37,735.21 ","24,462.61",,38.27 %,,3.98,,"2,836.00",2918.92,,PAID ON 15/4/2025,,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250157-R0-AEDMM-25-00087-METALUCK-ZINC-_WAYBILL_73_4971_9775Ghana.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250158-R0-AEDMM-25-00087-METALUCK-ZINC-_WAYBILL_73_4971_9775Ghana.pdf",shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2016.pdf,,"May 6, 2025 3:49 PM"
Befesa / 92 /ELC2500000879/SIDOC,BOGA64354600,In progress/ Provisional,EAF179-2024,15PI-2025,"$118,732.82",24ZND/2025,ELECTRIC ARC FURNACE DUST (EAFD),HMM,"April 29, 2025","May 30, 2025",326.23,268.96,730,"78,629.91","$39,202.32",,39.76,,10.15,,2878.9,2878.9,,,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250189-AEDMM-25-00117-METALUCK-ZINC-Colombia-BOGA64354600.pdf,,,"May 6, 2025 3:49 PM"
"Befesa / 92 /ELC2500000879/ADELCA ",GQL0390142,Done,EAF179-2024,15PI-2025,"$118,732.82",19ZND/2025,EAFD,CMA,"March 23, 2025","April 17, 2025",178.46,472.45,730,"68,824.53  ","$62,726.39",190.01,27.55,27.27,MOISTURE 19.23/ INVOICE MADE ON 18.23,17.4,2878.9,2878.9,"2,625.33","DHL8941418382Estimated Time of Arrival
April 21, 2025",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250152-R0-AEDMM-25-00087-METALUCK-ZINC-DHL_tracking_number_WAYBILL_4938794151Ecuador_-__ADELCA_PLANT.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2017.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/19ZND_Assay_Certificate_(2).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_Invoice_(1).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250014_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(_BL_No._GQL0390142).pdf","May 6, 2025 3:49 PM"
XIN/ 93 /ANDEC STOCK VILLINGOTA,GQL0394530,In progress/ Provisional,MTKEAF2025/003,23PI-2025,"$66,380.16",,Zinc Concentrate Powder,"CMA ","April 27, 2025","June 12, 2025",,1562.212,2250,,,,,,,,,,2800,,,,,,"May 6, 2025 3:49 PM"
XIN/ 93 /Guatemela / AG SIDEGUE,GTA0194651,In progress/ Final,MTKEAF2025/003,16PI-2025,"$13,965.70",26ZND/2025,Zinc Concentrate Powder,CMA,"April 21, 2025","June 2, 2025",441.54,275.910,2250,"120,999.62","$100,983.94",,"42.62 ",," 0.52",,,,2800,,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250156-R0-AEDMM-25-00087-METALUCK-ZINC-_WAYBILL_6308495535Guatemala.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2018.pdf,,"May 6, 2025 3:49 PM"
XIN/ 93 /NOVACERO,GQL0390085,In progress/ Final,MTKEAF2025/003,17PI-2025,"$17,457.12",21ZND/2025,Zinc Concentrate Powder,CMA,"March 22, 2025","May 14, 2025",194.74,333.969,2250,"64,486.79 "," 43,805.34",,26.75,,0.66,,,,2800,,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250150-R0-AEDMM-25-00087-METALUCK-ZINC-DHL_tracking_number_WAYBILL_4938794151Ecuador_-_NOVACERO.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2019.pdf,,"May 6, 2025 3:49 PM"
SUNPOR TRADING PTE.LTD 94/Ghana(star )   to Pakistan,,Not started,07ZN/2024,18PI-2025,"$12,982.20",,Zinc Concentrate Powder,CMA,,,,,100,,,,,,,,"2,774.00",,,,,,,,"May 6, 2025 3:49 PM"
"SUNPOR/ 95 Kenya( Tononoko &Accurate )  ",MOB0150974,In progress/ Provisional,08ZN/2024,19PI-2025,"$23,367.96",,Zinc Concentrate Powder,CMA,"April 29, 2025","September 5, 2025",,,180,,,,,,,,"2,774.00",,,,,,,,"May 6, 2025 3:49 PM"
Befesa / 96 /ELC2500000 / SIDOC,BOGA15903800,In progress/ Provisional,EAF179-2024,20PI-2025,"$180,576.06",29ZND/2025,ELECTRIC ARC FURNACE DUST (EAFD),CMA,"May 25, 2025","June 25, 2025",,,300,,,,,,,,2598.6,2598.6,,,,,,,"May 6, 2025 3:49 PM"
Befesa / 96 /ELC2500000 / ANDEC,GQL0394532,In progress/ Provisional,EAF179-2024,20PI-2025,"$180,576.06",25ZND/2025,EAFD,CMA,"April 27, 2025","May 21, 2025",157.86,202.96,180,"31,739.02","$29,517.29",,27,,0.76,,2598.6,2598.6,,,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250196-AEDMM-25-00117-METALUCK-ZINC-Ecuador-GQL0394532.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC.%201.pdf,,"May 6, 2025 3:49 PM"
Befesa / 96 /ELC2500000 / ADELCA,GQL0395811,In progress/ Provisional,EAF179-2024,20PI-2025,"$180,576.06",28ZND/2025,EAFD,CMA,"May 4, 2025","June 23, 2025",,740.890,750,,,,,,,,2598.6,2598.6,,,,,,,"May 6, 2025 3:49 PM"
XIN /97 /AG SIDEGUE,252706782,In progress/ Provisional,MTKEAF2025/004,21PI-2025,"$18,620.93",,Zinc Concentrate Powder,MEARSK,"April 28, 2025","June 25, 2025",,,350,,,,,,,,,,2800,,,,,,"May 6, 2025 3:49 PM"
"XIN /97 /ANDEC STOCK VILLINGOTA ",,In progress/ Provisional,MTKEAF2025/004,22PI-2025,"$12,931.20",,Zinc Concentrate Powder,"CMA ",,,,,1000,,,,,,,,,,2800,,,,,,"May 6, 2025 3:49 PM"
XIN /97 /NOVACERO,GQL0394522,In progress/ Final,MTKEAF2025/004,22PI-2025,"$12,931.20",27ZND/2025,Zinc Concentrate Powder,"CMA ","April 28, 2025","June 12, 2025",273.77,305.150,450,"82,261.86","$69,330.66",,31.54,,1.33,,,,2800,,"May 7, 2025",shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250195-AEDMM-25-00117-METALUCK-ZINC-Ecuador-GQL0394522.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC.%202.pdf,,"May 6, 2025 3:49 PM"
"XIN /98 /Ethiopia ",,Not started,MTKEAF2025/004,,,,,,,,,,50,,,,,,,,,,,,,,,,"May 6, 2025 3:49 PM"
EAF179-2024,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 6, 2025 3:49 PM"